Course Code,Course Name,Course Units,Course Description,Prerequisites
SIO 124,Marine Natural Products,4,"This course will provide a detailed introduction to marine natural products. It will survey the organisms that produce these compounds and introduce how they are made (biosynthesis), isolated and identified (natural products chemistry), why they are made (chemical ecology), and how they are exploited for useful purposes including drug discovery (marine biotechnology). It will leave students with a fundamental understanding of the latest techniques employed in natural product research.",CHEM 6C and BILD 1 or BILD 3 or consent of instructor.
SIO 125,Biomechanics of Marine Life,4,"An introduction to the physical basis of the biological world. This course explores how the physical principles of solids and fluids underlay the functional morphology, ecology, and adaptations of all living things, with emphasis on marine organisms.","BILD 3 and PHYS 1C or PHYS 2C, or consent of instructor."
SIO 126,Marine Microbiology,4,"The role of microorganisms in the oceans; metabolic diversity; methods in marine microbiology; interactions of microbes with other microbes, plants and animals; biochemical cycling, pollution and water quality; microbe-mineral interactions; extremophiles.",BILD 1 or consent of instructor.
SIO 127,Marine Molecular Ecology,4,This course will survey the application of molecular methods to address diverse questions concerning the ecology and evolutionary biology in marine organisms. Focus will be on genetic and genomic approaches that are providing new insights into how marine organisms adapt to their physical and biotic environments.,"BILD 3 and BICD 100 or BICD 100R, or consent of instructor."
SIO 128,Microbial Life in Extreme Environments,4,"Microorganisms turn up in the strangest places. This course examines the exotic and bizarre in the microbial world, including the super-sized, the rock and cloud builders, the survivors, and those present at the limits of life.","BILD 1 or BILD 2 or BILD 3, or consent of instructor."
SIO 129,Marine Chemical Ecology,4,This class explores the chemistry of marine life involved in the chemical adaptations of defense and communication. The class examines all of the marine taxa from microbes to higher plants and animals.,CHEM 140C or consent of instructor.
SIO 130,Scientific Diving,4,"This course includes theoretical and practical training to meet Scripps Institution of Oceanography and AAUS standards for scientific diving authorization and involves classroom, field, and ocean skin and scuba diving sessions. Topics include scientific diving programs and policy; physics and physiology of diving; decompression theory; dive planning; navigation; search and recovery; equipment and environmental considerations; subtidal sampling techniques; hazardous marine life; diving first aid; and diver rescue. Please see course preparation requirements here: https://scripps.ucsd.edu/scidive/authorization-training. P/NP grades only. Program or materials fees may apply.",department approval required.
SIO 131,Parasitology,6,"An ecological approach to parasitology. Students will gain the intellectual and practical foundation required to undertake parasitological research. Lectures will cover ecological/evolutionary concepts and the biology of various parasitic taxa. In labs, students will learn how to survey hosts for parasites, collect and identify parasites, perform infection experiments, and collect and analyze data. Students will also develop scholarship skills by delving into the scientific literature.","BILD 3 and BILD 2 or SIO 183 or SIO 184 or SIO 188, or consent of instructor."
SIO 132,Introduction to Marine Biology,4,"Overview of marine organisms and their adaptations to sea life. Selected examples of physiological, behavioral, and evolutionary adaptations in response to the unique challenges of a maritime environment.",BILD 3 or consent of instructor.
SIO 133,Marine Mammal Biology,4,"Introduction to the biology, ecology, evolution, and conservation status of marine mammals. Description of marine mammal taxa (mysticetes, odontocetes, pinnipeds, sirenians), their anatomy, physiology, ecology, and behavior. Impacts of whaling, fisheries interactions, and other anthropogenic threats.",BILD 3 and upper-division standing or consent of instructor.
SIO 134,Introduction to Biological Oceanography,4,"Basics for understanding the ecology of marine communities. The approach is process-oriented, focusing on major functional groups of organisms, their food-web interactions and community response to environmental forcing, and contemporary issues in human and climate influences. (Students may not receive credit for both SIO 134 and BIEB 134.)",BILD 3 and upper-division standing or consent of instructor.
SIO 135/SIOG 236,Satellite Remote Sensing,4,"Satellite remote sensing provides global observations of Earth to monitor environmental changes in land, oceans, and ice. Overview, physical principles of remote sensing, including orbits, electromagnetic radiation, diffraction, electro-optical, and microwave systems. Weekly labs explore remote sensing data sets. Graduate students will also be required to write a term paper and do an oral presentation.","undergraduate: PHYS 2A-B or PHYS 4A-B-C, or consent of instructor. Graduate: graduate-level standing or consent of instructor."
SIO 136,Marine Biology Laboratory,6,"Introductory laboratory course in current principles and techniques applicable to research problems in marine biology. Field component includes introduction to intertidal, salt marsh, or other marine ecosystems. Program or materials fees may apply.","BILD 3, SIO 132, and SIO 134, or consent of instructor."
SIO 137,Ecosystems and Fisheries,4,"This course introduces students to the broad ecological processes and approaches that are fundamental to studying the dynamics of exploited populations, food webs, and ecosystems. The basics of fisheries oceanography are covered, with a synergistic focus on interactions between key members of an ecosystem. A diversity of ecosystems will be discussed but the focus will be on the open ocean and deep sea.",SIO 134 or consent of instructor.
SIO 138,The Coral Reef Environment,4,"Assessment of the physical, chemical, and biological interactions that define the coral reef system; essential geography and evolutionary history of reefs; natural and human perturbations to the coral reef ecosystem; aspects of reef management and sustainability.","BILD 3, MATH 10A or MATH 20A, CHEM 6B, or consent of instructor."
SIO 139,Current Research in Marine Biology Colloquium,2,Provides an introduction to current research topics and developments in marine biology and biological oceanography. Faculty members from Scripps Institution of Oceanography will offer perspectives in these areas. Students will practice scientific research and communication skills. P/NP grades only.,upper-division standing or consent of instructor.
SIO 141/CHEM 174,Chemical Principles of Marine Systems,4,"Introduction to the chemistry and distribution of the elements in seawater, emphasizing basic chemical principles such as electron structure, chemical bonding, and group and periodic properties and showing how these affect basic aqueous chemistry in marine systems.","CHEM 6C or 6CH, or consent of instructor."
SIO 143,Ocean Acidification,4,"This course covers the fundamentals of ocean acidification, including the chemical background; past and future changes in ocean chemistry; biological and biogeochemical consequences, including organism and ecosystem function; biodiversity; biomineralization; carbonate dissolution; and the cycling of carbon and nitrogen in the oceans. May be coscheduled with SIOG 264. Prerequisites: PHYS 1C or PHYS 2C and CHEM 6C or CHEM 6CH, or consent of instructor.",None
SIO 144/SIOG 252A,Introduction to Isotope Geochemistry,4,"Radioactive and stable isotope studies in geology and geochemistry, including geochronology, isotopes as tracers of magmatic processes, cosmic-ray produced isotopes as tracers in the crust and weathering cycle, isotopic evolution of the crust and mantle.","undergraduate: SIO 50, 102, and 120 or consent of instructor. Graduate: graduate-level standing or consent of instructor. Graduate level requires student presentation."
SIO 145,Introduction to Field Methods in Biological Oceanography,6,"Diverse biological communities of the open ocean drive marine biogeochemistry and food webs. This laboratory course introduces students to methods used to quantify biomass and consumption rates of organisms spanning phytoplankton to fishes. Laboratory and computational methods for analyzing biological samples are presented. Students receive hands-on, at-sea experience for sampling multiple levels of the pelagic food web, through active participation in two single-day oceanographic cruises.",SIO 134 or BIEB 134.
SIO 146,Methods in Cell and Developmental Biology of Marine Organisms Lab,6,"This laboratory course will introduce students to modern concepts and techniques in molecular, cellular, and developmental biology, through authentic research projects using echinoderm, mollusk, and coral species. In addition to designing and performing experiments, students will learn to evaluate data, work with DNA sequences, quantify results with statistics, prepare figures, read primary research literature, write and review scientific research articles, and give scientific presentations.",BILD 2 or consent of instructor.
SIO 147,Applications of Phylogenetics,6,"Overview of the computer-based methods for constructing phylogenetic trees using morphological and molecular data. Lectures and labs cover evolutionary and ecological transformations, biodiversity measurements, biogeography, systematic and taxonomy. An independent project and presentation are required. (Students may not receive credit for both SIO 147 and BIEB 147.)",BILD 3 or consent of instructor.
SIO 152,Petrology and Petrography,4,"Mineralogic, chemical, textural and structural properties of igneous, metamorphic, and sedimentary rocks; their origin and relations to evolution of the Earth’s crust and mantle. Laboratory emphasizes hand specimens and microscopic studies of rocks in thin sections.",SIO 50 and SIO 120 or consent of instructor.
SIO 153,Geomorphology,4,"Geomorphology is the study of the dynamic interface across which the atmosphere, water, biota, and tectonics interact to transform rock into landscapes with distinctive features crucial to the function and existence of water resources, natural hazards, climate, biogeochemical cycles, and life. In this class, we will study many of the Earth surface processes that operate on spatial scales from atomic particles to continents and over time scales of nanoseconds to millions of years.",SIO 50 or consent of instructor.
SIO 155,Whole Earth Geochemistry,4,"A geochemical overview of Earth materials and chemical processes involved in the Earth’s evolution. Topics include formation and differentiation of the Earth, linkages between the solid Earth and the atmosphere/hydrosphere, and isotope and trace element composition of igneous and metamorphic rocks.",SIO 102 or consent of instructor.
SIO 160,Introduction to Tectonics,4,"The theory of plate tectonics attempts to explain how forces within the Earth give rise to continents, ocean basins, mountain ranges, earthquake belts, and most volcanoes. In this course we will learn how plate tectonics works.",SIO 50 or consent of instructor.
SIO 161,Seismology,4,"Introduction to observational and theoretical seismology: earth structure, source representation, ray theory, and seismic wave phenomena. Examines stress and strain, the wave equation, travel times, amplitude and phase, surface waves, and source theory, including magnitude, focal mechanism, moment tensors, and radiation patterns.",MATH 20D or SIO 103.
SIO 162,Structural Geology,4,Principles of stratigraphy and structural geology applicable to field geologic studies. Discussion and laboratory exercises. Two to three field trips required. Program and/or materials fees may apply.,SIO 100 or consent of instructor.
SIO 164,Underwater Archaeology: From Atlantis to Science,4,"Underwater archaeology provides access to ancient environmental and cultural data concerning human adaptation to climate and environmental change. Provides an overview of methods, theories, and practice of marine archaeology including—environmental characteristics of coastal and underwater settings; the nature of ports, navigation, maritime culture, submerged landscapes, shipbuilding; methods of research in underwater settings; and legislative issues regarding underwater and coastal heritage. Students may not receive credit for both ANAR 164 and SIO 164.",None
SIO 166,Introduction to Environmental Archaeology—Theory and Method of Socioecodynamics and Human Paleoecology,4,"Introduction to the multidisciplinary tools for paleoenvironmental analysis—from ecology, sedimentology, climatology, zoology, botany, chemistry, and others—and provides the theory and method to investigate the dynamics between human behavior and natural processes. This socioecodynamic perspective facilitates a nuanced understanding of topics such as resource overexploitation, impacts on biodiversity, social vulnerability, sustainability, and responses to climate change. Students may not receive credit for ANAR 166 and SIO 166.",upper-division standing.
SIO 167,Geoarchaeology in Theory and Practice,6,"As specialists in human timescales, archaeologists are trained to identify subtle details that are often imperceptible for other geoscientists. This course is designed to train archaeologists to identify the natural processes affecting the archaeological record, and geoscientists to identify the influence of human behavior over land surfaces. The course, which includes lectures, laboratory training, and field observations, focuses on the articulation of sedimentology and human activity. Students may not receive credit for both ANAR 167 and SIO 167.",ANTH 3 and SIO 50 or consent of instructor.
SIO 170,Volcanology,4,"This class will introduce students to the fundamentals of the science of volcanology. Topics explored will include the processes and products of various types of volcanism, magma genesis, eruptive mechanisms, in addition to volcanic monitoring, hazards and mitigation. Students may not receive credit for both SIO 170 and SIO 170GS.","SIO 100 and CHEM 6A or CHEM 6AH, or consent of instructor."
SIO 170GS,Introduction to Volcanology,4,"This class will introduce students to the fundamentals of the science of volcanology. Topics explored will include the processes and products of various types of volcanism, magma genesis, eruptive mechanisms, in addition to volcanic monitoring, hazards, and mitigation. Students may not receive credit for both SIO 170 and SIO 170GS. Program or materials fees may apply.",Students must apply and be accepted to the Global Seminars Program.
SIO 170L,Introduction to Volcanology—Field Experience,4,This course teaches fundamental aspects of physical and chemical volcanology through a one- to two-week field study experience prior to the start of the quarter. Subjects are introduced in lectures and reinforced and expanded upon in field exercises. Additional fees may be required for travel expenses. Program or materials fees may apply. May be taken for credit two times.,SIO 170 or consent of instructor; department approval required.
SIO 171,Introduction to Physical Oceanography,4,"A physical description of the sea at the upper-division level, with emphasis on currents, waves, and turbulent motions that are observed in the ocean, and on the physics governing them.","MATH 20C and PHYS 2C or PHYS 4C, or consent of instructor."
SIO 172,Physics of the Atmosphere,4,"This course provides an understanding of the physical principles governing the behavior of the Earth’s atmosphere, with emphasis on the thermal structure and composition of the atmosphere, air masses and fronts, and atmospheric thermodynamics, fluid dynamics, and radiation.","MATH 20C and PHYS 2C, or consent of instructor."
SIO 173,Dynamics of the Atmosphere and Climate,4,"Introduction to the dynamical principles governing the atmosphere and climate using observations, numerical models, and theory to understand atmospheric circulation, weather systems, severe storms, marine layer, Santa Ana winds, El Niño, climate variability, and other phenomena.","MATH 20E and PHYS 2C, or consent of instructor."
SIO 174,Chemistry of the Atmosphere and Oceans,4,"An introduction to chemical compounds and their biogeochemical cycles in the oceans and atmosphere, with emphasis on climate issues like ocean acidification, greenhouse gases and the carbon cycle, other biogeochemical cycles, chlorofluorocarbons and the ozone hole, urban pollutants and their photochemistry, and aerosol particles and their effects on clouds.",CHEM 6C or CHEM 6CH and MATH 20C or MATH 31BH or consent of instructor.
SIO 175,Analysis of Oceanic and Atmospheric Data,4,Oceanic and atmospheric observations produce large data sets whose understanding requires analysis using computers. This course will include an introduction to MATLAB for the purpose of analyzing data. Students will use modern data sets from the ocean and atmosphere to learn statistical data analysis.,MATH 18 or MATH 20F or MATH 31AH or consent of instructor.
SIO 176,Observational Physical Oceanography,4,"This course gives an introduction to the methods and measurements used by observational physical oceanographers. Topics covered include sensors such as conductivity-temperature-depth (CTD), acoustic Doppler current profiler (ADCP), platforms such as autonomous gliders and ships, and services such as satellite measurements. This course includes a research project.",SIO 171 or consent of instructor.
SIO 177,Fluid Dynamics,4,"This course gives an introduction to ocean and atmosphere fluid properties, statics, and kinematics; fluid conservation laws; irrotational flow; Bernoulli equation; gravity waves; shallow water equations; geophysical applications.",PHYS 2A and MATH 20D and MATH 20E or consent of instructor.
SIO 178,Geophysical Fluid Dynamics,4,"This course provides an introductory look at physical principles governing ocean currents and atmospheric flow. Topics may include large-scale circulation, ocean eddies, atmospheric storms systems, coastal upwelling, equatorial dynamics, and internal waves.",PHYS 2C and SIO 177 and MATH 18 or MATH 20F or MATH 31AH or consent of instructor.
SIO 179,Ocean Instruments and Sensors,4,"Apply modern and classic techniques for analysis of seawater, introducing concepts of signal transduction, calibration, and measurement quality control. Emphasis will be placed on computer automation to perform basic functions including instrument control, data storage, and on-the-fly calculations. Students will apply techniques from several branches of engineering to the marine sciences. Students may not receive credit for both SIO 179 and SIO 190 with the same subtitle. Recommended preparation: PHYS 2A-C or PHYS 4A-C.",CHEM 6A or CHEM 6AH or PHYS 2A or PHYS 4A or consent of instructor.
SIO 180,Communicating Science to Informal Audiences,4,"Students develop fundamental science communication and instructional skills through the understanding and application of learning theory, interpretive techniques, and pedagogical practices, which occur in the context of communicating ocean science concepts to a diverse audience at Birch Aquarium at Scripps.",CHEM 6A or SIO 50 or BILD 1 or consent of instructor.
SIO 181,Marine Biochemistry,4,"Biochemical mechanisms of adaptation in organisms to the marine environment. Special emphasis will be on the effects of pressure, temperature, salinity, oxygen, and light on the physiology and biochemistry. (Students may not receive credit for both SIO 181 and BIBC 130.)",none.
SIO 182,Environmental and Exploration Geophysics,4,"Lecture and laboratory course emphasizing the biology, ecology and taxonomy of marine plants and seaweeds. Laboratory work mainly involves examination, slide preparation and dissection of fresh material collected locally. An oral presentation on a current research topic is required. Program or course fee may apply.",BILD 3 or consent of instructor.
SIO 183,Phycology: Marine Plant Biology,6,"Lecture and laboratory course emphasizing the biology, ecology and taxonomy of marine plants and seaweeds. Laboratory work mainly involves examination, slide preparation and dissection of fresh material collected locally. An oral presentation on a current research topic is required. Program or course fee may apply.",BILD 3 or consent of instructor.
SIO 184,Marine Invertebrates,6,"Course emphasizing the diversity, evolution and functional morphology of marine invertebrates. Laboratory work involves examination of live and prepared specimens. An oral presentation and a paper on current research topic are required. Program or course fee may apply.",BILD 3 or consent of instructor.
SIO 185,Marine Microbiology Laboratory,5,"Techniques and theory in marine microbiology. Students perform experiments concerning (a) enrichment, enumeration, and identification, and (b) metabolic and physiochemical adaptations, along with an independent project. Students may not receive credit for both SIO 126L and SIO 185.",BILD 1 and SIO 132 or SIO 134 or consent of instructor.
SIO 186,Microbiomes across Environments,4,"This course is a comprehensive introduction to microbiome research, tools, and approaches for investigation, and a lexicon for understanding the biological role of microbial communities in the environment and in their hosts. Informational and instructive lectures will provide background and the latest in microbiome analysis, as well as experimental design, molecular biology, statistics, bioinformatics, and presentation and manuscript writing. Students will design and carry out their own experiment.","BILD 4 or SIO 187, and MATH 11 or SIO 187, or consent of instructor."
SIO 187,Statistical Methods in Marine Biology,4,"Introduction to statistical inference. Emphasis on constructing statistics for specific problems in marine biology. Topics include probability, distributions, sampling, replication, and experimental design. Students may not receive credit for both SIO 187 and BIEB 100.",BILD 3 or consent of instructor.
SIO 188,Biology of Fishes,5,"The comparative evolution, morphology, physiology, and ecology of fishes. Special emphasis on local, deep-sea, and pelagic forms in laboratory.",BILD 3 or consent of instructor.
SIO 189,"Pollution, Environment and Health",4,The goal is to understand the scope of the pollution problem facing the planet. Students will learn the properties of chemicals in the environment and survey the biological mechanisms that determine their accumulation and toxicity.,CHEM 6C and BILD 1 or 3 or consent of instructor.
SIO 190,"Special Topics in Earth, Oceans, and Atmosphere",4,"A seminar course designed to treat emerging or topical subjects in the earth, ocean, or atmospheric sciences. Involves lectures, reading from the literature, and student participation in discussion. Topics vary from year to year. May be taken for credit two times. Enrollment by consent of instructor.",upper-division standing or consent of instructor.
SIO 190L,"Special Topics in Earth, Oceans, and Atmosphere—Lab",4,"A lab course designed to treat emerging or topical subjects in the earth, ocean, or atmospheric sciences. Involves lectures, lab work, reading from the literature, and student participation in discussion.",upper-division standing or consent of instructor.
SIO 192,Senior Seminar in Scripps Institution of Oceanography,1,"The Senior Seminar Program is designed to allow Scripps Institution of Oceanography senior undergraduates to meet with faculty members in a small group setting to explore an intellectual topic in Scripps Oceanography (at the upper-division level). Topics will vary from quarter to quarter. Senior Seminars may be taken for credit up to four times, with a change in topic, and permission of the department. Enrollment is limited to twenty students, with preference given to seniors.",None
SIO 194,"Research Seminar in Washington, DC",4,Course attached to a six- to eight-unit internship taken by students participating in the UCDC Program. Involves weekly seminar meetings with faculty and teaching assistant and a substantial research paper.,department approval. Participation in the UCDC Program during quarter enrolled in seminar.
SIO 195,Methods of Teaching Earth Sciences,4,"Introduction to teaching earth sciences class section in a lower-division class, hold office hours, assist with examinations. This course counts only once toward the major.","junior or senior earth sciences major with GPA of 3.0 or an A in the course, overall GPA of 3.0 or higher, ninety units or more, and consent of instructor, plus department stamp."
SIO 196,Honors Thesis Research,4,"Course is for student participants in the senior honors thesis research program. Students complete individual research on a problem by special arrangement with, and under the direction of, a Scripps Institution of Oceanography faculty member. May be taken for credit two times.","completed ninety units of courses, including twelve units of SIO courses. Achieved a GPA of 3.3 overall and 3.5 in SIO courses. Submitted to Scripps Steering Committee, and had approved, an honors thesis research proposal. Department stamp."
SIO 197,Earth Science Internship,4,The earth science internship program is designed to complement the program’s academic curriculum with practical field experience.,"completion of ninety units with a GPA of 2.5, and a completed and approved Special Studies form, UC San Diego Application for Enrollment Special Studies Courses 197, 198, 199, and department stamp."
SIO 197BA,Birch Aquarium Internship,4,This internship will examine basic science learning theory and interpretive techniques best suited for learners in an aquarium or informal learning setting. Students will demonstrate learned skills by facilitating floor-based interactions and conducting visitor surveys that influence aquarium exhibit design and guest experiences. Interested students should contact the Scripps undergraduate office for application instructions. P/NP grades only.,upper-division standing and department stamp required.
SIO 198,Directed Group Study,4,This course covers a variety of directed group studies in areas not covered by formal Scripps Oceanography courses. (P/NP grades only.),consent of instructor.
SIO 199,Independent Study for Undergraduates,4,Independent reading or research on a problem. By special arrangement with a faculty member. (P/NP grades only.),None
SIOG 228,Research Seminar,2,A three-quarter required sequence for BS/MS earth sciences students to prepare students for thesis writing.,current earth sciences BS/MS student. Department approval required. Must be taken for letter grade only.
SIOC 200A,Computational Ocean Acoustics and Signal Processing I,4,"Overview of ocean acoustics. Acoustics Wave Equation with some analytic solution techniques. Ray Methods. Introduction to Spectral and Normal Modes methods. Introduction to beamforming, including matched field processing. Computer programs will be constructed on all subjects covered.",graduate standing or consent of instructor.
SIOC 200B,Computational Ocean Acoustics and Signal Processing II,4,"Continuation of SIOC 200A. Range dependent propagation models, including adiabatic and coupled mode models and parabolic equations. More advanced topics in matched field processing.",graduate standing and SIOC 200A or SIO 200A or consent of instructor.
SIOC 200C,Computational Ocean Acoustics and Signal Processing III,4,"Continuation of SIOC 200B. Modeling interference such as ambient noise. Time domain methods. Matched field tomography, nonlinear optimization methods, and geophysical inversion.",graduate standing and SIOC 200B or SIO 200B or consent of instructor.
SIOC 201,Geological Record of Climate Change,4,"Introduction to geological archives; the tools for paleoclimate reconstruction and a sampling of important issues from the geological record, including the development of “greenhouse” and “icehouse” worlds, the origin and evolution of glacial cycles, and the origin of “millennial scale” climate variability.","chemistry and physics required for graduate admission to SIO, SIO 101 or equivalent, or consent of instructor."
SIOC 202A–B,Fundamentals of Wave Physics,4,"This two-quarter sequence is designed to introduce a broad background of students to basic principles of wave physics, including generation, propagation, dispersion, refraction, diffraction, reflection, waveguides, etc. A variety of wave motions of environmental relevance, including acoustic, ocean surface and internal (SIOC 202A), optical and seismic (SIOC 202B) are used to illustrate these principles. In-class experiments, data collection, and analysis exercises are incorporated.",calculus and partial differential equations.
SIOC 203A,Introduction to Applied Mathematics I,4,Review of exact methods for ordinary differential equations. Expansions about regular and irregular singular points. Introduction to asymptotic expansions. Approximate methods for nonlinear differential equations. Regular and singular perturbation theory. Additional topics depending upon the interests of the instructor. Coscheduled with MAE 294BA.,"MATH 110, MATH 120A, or consent of instructor."
SIOC 203B,Introduction to Applied Mathematics II,4,"Asymptotic methods: method of steepest descent (if not covered in I) WKB, method of multiple scales, boundary layer theory. Elements of complex analysis. Coscheduled with MAE 294B.",MAE 294A or SIOC 203A or SIO 203A or consent of instructor.
SIOC 203C,Introduction to Applied Mathematics III,5,"Partial differential equations: characteristics, similarity solutions, Green’s functions, images, wave equation, diffusion equation, Laplace’s equation. Applications to continuum mechanics, potential fields, and transport phenomena such as diffusion, linear and nonlinear waves, Burger’s equation, shocks, and other topics. Other topics according to the interests of the instructor. Coscheduled with MAE 294C.",graduate standing and MAE 294B or SIOC 203B or SIO 203B or SIOC 215B or SIO 215B or consent of instructor.
SIOC 204,Underwater Acoustics,4,"Theory of radiation, transmission, and scattering of sound with special application to ocean acoustics.",graduate standing or consent of instructor.
SIOC 205,Estuarine and Coastal Processes,4,"The course focuses on estuarine and coastal physical dynamics and biogeochemical/ecosystem impacts. Topics are adjusted for student interest, but include turbulence and the bottom boundary layer, tides (origin and propagation), estuary types, tidally averaged dynamics, temporal variation, stratification, lateral processes and fronts, dispersion mechanisms, sediment transport, estuarine productivity (nutrients, oxygen, and eutrophication), estuarine ecosystems, river plumes, and coastal upwelling.",graduate standing or consent of instructor.
SIOC 207A,Fundamentals of Digital Signal Processing,4,"Discussion of discrete-time signals and systems, Discrete-Time Fourier Transform (DFT) and window functions, Fast Fourier Transform (FFT), design of Finite Impulse Response (FIR) and Infinite Impulse Response (IIR) digital filters and their implementations, finite word length effects, applications to data acquisition and analysis.",graduate standing or consent of instructor.
SIOC 207B,Digital Signal Processing I,4,"Discrete random signals; conventional (FFT based) spectral estimation. Coherence and transfer function estimation; model-based spectral estimation; linear prediction and AR modeling, Levinson-Durbin algorithm and lattice filters, minimum variance spectrum estimation. Coscheduled with ECE 251A. Recommended preparation: ECE 153, Probability, or ECE 250, Random Processes; ECE 161A, Introduction to Digital Signal Processing; ECE 251C, Filter Banks and Wavelets; ECE 269, Linear Algebra and Application, or equivalent and SIOC 207A, Fundamentals of Digital Signal Processing, or equivalent.",graduate standing or consent of instructor.
SIOC 207C,Digital Signal Processing II,4,"Adaptive filter theory, estimation errors for recursive least squares and gradient algorithms, convergence and tracking analysis of LMS, RLS, and Kalman filtering algorithms, comparative performance of Wiener and adaptive filters, transversal and lattice filter implementations, performance analysis for equalization, noise canceling, and linear prediction applications. Coscheduled with ECE 251B. (Recommended",ECE 251A or ECE 251AN.) Prerequisites: graduate standing ECE 251A (for ECE 251B); SIOC 207B or SIO 207B (for SIOC 207C).
SIOC 207D,Array Processing,4,"The coherent processing of data collected from sensors distributed in space for signal enhancement and noise rejection purposes or wavefield directionality estimation. Conventional and adaptive beamforming. Matched field processing. Sparse array design and processing techniques. Applications to acoustics, geophysics, and electromagnetics. Cross-listed with ECE 251D. Students will not receive credit for both ECE 251D and SIOC 207D.",graduate standing; ECE 251A or SIOC 207B.
SIOC 208,Seminar in Applied Ocean Sciences,1,Topics in applied ocean sciences. One-hour seminar. (S/U grades only).,None
SIOC 209,Special Topics,4,"Within the next few years, lectures on various special subjects will be offered by members of the staff. The emphasis will be on topics that reveal the interdependence of the biological, chemical, geological, and physical processes operating in the oceans. (S/U grades permitted.)",None
SIOC 210,Physical Oceanography,4,"Physical description of the sea; physical properties of seawater, methods and measurements, boundary processes, regional oceanography.",graduate standing or consent of instructor.
SIOC 211A,Ocean Waves I,4,"Propagation and dynamics of waves in the ocean, including the effects of stratification, rotation, topography, wind, and nonlinearity.",graduate standing or consent of instructor.
SIOC 211B,Ocean Waves II,4,"The equations of motions for rotating stratified flow and their application to the atmospheric and oceanic dynamics; Ekman layer dynamics, potential vorticity dynamics, the quasigeostrophic approximation, theories of the wind-driven oceanic circulation, theories of the atmospheric Hadley circulation, geostrophic adjustment, and baroclinic instability.",graduate standing or consent of instructor.
SIOC 212A,Geophysical Fluid Dynamics I,4,"The equations of motions for rotating stratified flow and their application to the atmospheric and oceanic dynamics; Ekman layer dynamics, potential vorticity dynamics, the quasigeostrophic approximation, theories of the wind-driven oceanic circulation, theories of the atmospheric Hadley circulation, geostrophic adjustment, and baroclinic instability.",graduate standing or consent of instructor.
SIOC 212B,Geophysical Fluid Dynamics II,5,"The equations of motion for rotating stratified flow and their application to the atmospheric and oceanic dynamics; Ekman layer dynamics, potential vorticity dynamics, the quasigeostrophic approximation, theories of the wind-driven oceanic circulation, theories of the atmospheric Hadley circulation, geostrophic adjustment, and baroclinic instability.",graduate standing and SIOC 212A or SIO 212A and SIOC 214A or SIO 214A or consent of instructor.
SIOC 213,Turbulence and Mixing,4,"Mixing mechanisms, their identification, description, and modeling. Introduction to turbulence, semiempirical theories, importance of coherent structures, effects of stratification and rotation on turbulent structure, entrainment and mixing. (S/U grades permitted.)",graduate standing or consent of instructor.
SIOC 214A,Introduction to Fluid Mechanics,4,"A survey of classical problems in fluid mechanics and approximate techniques of analysis. Topics include conservation equations, straight laminar flows, low and high Reynolds number laminar flow, stability of laminar flows, turbulent flow.",graduate standing or consent of instructor.
SIOC 214B,Environmental Fluid Dynamics,4,"Single-layer flows with a free surface; two-layer flows, including exchange flows in harbors, estuaries, seas, and buildings. Continuously stratified flows with meteorological and oceanographic applications. Topographic effects, plumes, jets, and thermals. Planetary boundary layers.",graduate standing or consent of instructor.
SIOC 215A,Applied Mathematics for Oceanographers I,4,"Intended for first-year graduate students who seek a quantitative way to describe how the ocean works: vector analysis, complex quantities, Fourier and Laplace transforms, ordinary differential equations, nonhomogeneous ordinary differential equations, initial and boundary value problems, Heat and Laplace equations.",graduate standing or consent of instructor.
SIOC 215B,Applied Mathematics for Oceanographers II,4,"An introduction to the mathematical description of waves, beginning with a description of the linear oscillator, and followed by normal modes, the flexible string, membranes, water waves, ray theory, method of characteristics, and basic linear algebra.",graduate standing and SIOC 215A or SIO 215A or consent of instructor.
SIOC 215C,Applied Mathematics for Oceanographers III,4,"An introduction to Perturbation theory, including regular and singular expansions, Poincare’s method, two-scale method, the WKB approximation and boundary layer theory.",graduate standing and SIOC 215A or SIO 215A and SIOC 215B or SIO 215B or consent of instructor.
SIOC 216A,Introduction to the Physics of Complex Systems,4,"Emergent complex behavior in nonlinear, dissipative, open dynamical systems will be investigated by studying fundamental properties and their manifestation in examples drawn from the physical and biological sciences. Topics to include fractals, chaos, self-organization, artificial life, and neural networks.",graduate standing or consent of instructor. (S/U grades permitted.)
SIOC 216B,Applied Complexity,4,"A project-based course focusing on applying methods from the study of complex systems to messy, real-world physical, biological, or social problems. Projects will encompass choosing a problem, writing a proposal, carrying out research, writing up and presenting results, and working collaboratively.",SIO 216 or SIOC 216 or SIOC 216A and graduate standing or consent of instructor.
SIOC 217A,Atmospheric and Climate Sciences I,4,"Thermodynamics and statics of dry and moist air, atmospheric composition, Earth radiation budget, vertical structure of the atmosphere, global energy balance, thermodynamic feedbacks in the climate system.",graduate standing or consent of instructor. (Letter grades only.)
SIOC 217B,Atmospheric and Climate Sciences II,4,"Fluid dynamics of the atmosphere; derivation of governing equations from the laws of physics, scale analysis, conservation principles, theoretical and observed structure of midlatitude synoptic systems; gradient wind and thermal wind approximations, geostrophic and quasigeostrophic approximations; potential vorticity, Rossby waves, climate and weather phenomena such as jet streams and cyclones.",graduate standing and SIOC 217A or SIO 217A or consent of instructor.
